name,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month
"Sunny, Gold Coast apartment",41.90274228,-87.63283349,Entire home/apt,120,3,35,06/04/2017,2.12
LOCATION -Gold Coast-Zoo-Old Town-REMODELED Studio,41.90722224,-87.62878467,Entire home/apt,80,1,1,07/05/2017,1.00
DOWNTOWN - RIGHT NEXT TO TRAIN - $40 OFF COUPON,41.90081784,-87.62666371,Entire home/apt,51,3,103,08/05/2017,2.20
Fabulous Gold Coast Apt. (57-2),41.90205447,-87.62550872,Entire home/apt,175,2,11,09/04/2017,0.30
Cozy spot conveniently located in downtown,41.89152243,-87.61602859,Entire home/apt,150,1,9,07/05/2017,4.50
Spacious Old Town Apartment Close to EVERYTHING,41.90464922,-87.63704259,Entire home/apt,150,1,2,08/06/2016,0.18
Stylish Loft with Hot Tub & Game Room,41.90703967,-87.63181172,Entire home/apt,75,1,263,08/05/2017,6.85
Dream apartment feel like home with beautiful view,41.89710247,-87.62915088,Entire home/apt,227,1,7,08/05/2017,0.88
Lakefront Studio. Great location!,41.89765663,-87.61823443,Entire home/apt,110,2,37,23/04/2017,2.92
Airy Studio in Gold Coast,41.90215309,-87.62828939,Entire home/apt,129,2,2,04/12/2016,0.32
FANTASTIC VIEWS HIGH FLOOR PENTHOUSE |2 BD| POOL,41.89361367,-87.61754967,Entire home/apt,99,30,1,30/10/2016,0.16
Supper Location in Gold Coast-Old Studio-fits 4,41.90073781,-87.63038812,Entire home/apt,90,1,65,08/05/2017,5.77
1BR LUX Michigan Ave Condo: Lake View!,41.88998603,-87.62192346,Entire home/apt,111,21,1,20/04/2017,1.00
Heart of Gold Coast (lady only),41.89931553,-87.62603018,Shared room,55,1,12,01/10/2016,0.62
Summer in the City 3BR 3BA HUGE Old Town Penthouse,41.91058412,-87.64308696,Entire home/apt,402,1,13,10/10/2016,0.59
Roomy 1 bed Gold Coast Apt.,41.90818201,-87.63107544,Entire home/apt,170,1,5,05/09/2016,0.25
1BR LUX: MICHIGAN AVE: LAKE VIEW!,41.89213486,-87.62139974,Entire home/apt,149,7,2,29/06/2016,0.17
Gorgeous view - Free Parking!,41.90435732,-87.63324942,Entire home/apt,240,1,42,19/03/2017,1.74
Peace and quiet in the city!,41.90480356,-87.63044593,Entire home/apt,139,3,47,08/05/2017,1.60
Fantastic River North Convertible,41.89687327,-87.63064756,Entire home/apt,115,1,8,07/05/2017,1.59
Bright and Roomy Apt In Downtown,41.9011061,-87.63835533,Entire home/apt,185,2,4,07/05/2017,3.33
Modern and Finest of Chicago,41.89627927,-87.63343087,Entire home/apt,100,20,0,,
"Private bath, pool, gym, ideal location",41.88917989,-87.63321977,Private room,99,2,189,21/04/2017,3.69
Grand Central Flat No.3 by CHICAGOAN,41.89783434,-87.62871639,Entire home/apt,57,1,22,23/04/2017,5.12
Stunning 1 Bedroom Condo with Excellent views!,41.89382857,-87.63597209,Entire home/apt,121,2,0,,
Gold Coast/River North 2 bedroom vintage condo,41.90173597,-87.63167925,Entire home/apt,150,2,22,29/04/2017,2.99
2 Bd 2 Bh MAJESTIC APARTMENT IN DOWNTOWN CHICAGO,41.894685,-87.61664221,Entire home/apt,227,30,0,,
Chicago MagnificentMile River North,41.89635044,-87.63066785,Entire home/apt,199,1,19,08/05/2017,3.45
"Artistic, Historic, Duplex Loft",41.90840818,-87.63341413,Entire home/apt,110,2,7,15/01/2017,0.88
BEST LOCATION + MAG MILE GOLD COAST,41.89769153,-87.63293381,Entire home/apt,132,60,0,,
Perfect location Gold Coast,41.90337311,-87.62947022,Entire home/apt,120,1,11,05/05/2017,4.46
The Heart of gold coast.,41.90489531,-87.63091582,Entire home/apt,130,1,67,27/04/2017,5.93
DOWNTOWN!  5 BEDS / 2BATHS / SLEEPS 10! Suite 2/3,41.8979422,-87.63805979,Entire home/apt,199,2,1,04/05/2017,1.00
Contemporary 1 Bedroom Loft Suite Old Town View,41.90646838,-87.63443142,Entire home/apt,136,2,61,07/05/2017,4.33
Studio in the heart of Chicago,41.8932802,-87.61741212,Entire home/apt,84,2,0,,
Classic Queen at FieldHouse Jones,41.89923443,-87.63652281,Private room,277,1,0,,
Amazing city view from top floor,41.89193806,-87.61778703,Private room,144,1,18,07/05/2017,9.00
3 Bed High-Rise in Conveinent Downtown Chicago!,41.89090489,-87.63157064,Entire home/apt,149,1,17,30/12/2016,1.03
Roomy 2BR in the Center of Chicago. The Loop (402),41.89390221,-87.62985921,Entire home/apt,183,2,43,04/05/2017,6.48
Amazing Old Town flat with FREE Parking!,41.90592846,-87.64171572,Entire home/apt,160,2,2,19/03/2017,0.63
Grand Suite @ Raffaello Hotel,41.90092788,-87.62102014,Entire home/apt,90,1,68,07/05/2017,2.93
2 Bedroom Downtown Loft - Pinterest Worthy,41.90424016,-87.63435216,Entire home/apt,425,3,3,26/04/2017,0.69
Charming Walk-up in Heart of Gold Coast,41.90448133,-87.62989763,Entire home/apt,300,2,0,,
SPECTACULAR CITY AND LAKE VIEWS,41.89437422,-87.61526104,Entire home/apt,130,25,1,18/03/2017,0.56
Private Bedroom! Heart of Lincoln Park/Old Town!,41.91079321,-87.64752805,Private room,65,1,0,,
Unlimited Luxury SKY home w/balcony,41.89668102,-87.63287647,Entire home/apt,180,30,4,09/10/2016,0.23
ShortStayChicago#6: Michigan Avenue,41.90237839,-87.63412643,Entire home/apt,86,30,21,02/04/2017,0.85
NEW MODERN CONTEMPORARY BALCONY A+,41.89626924,-87.63147718,Entire home/apt,185,30,2,23/02/2016,0.12
Vibrant 2BR in Old Town,41.90930084,-87.63468173,Entire home/apt,169,2,4,24/02/2017,0.93
Best Location in Old Town- 1 Bedroom,41.90320973,-87.63434132,Entire home/apt,100,2,5,29/12/2016,0.78
Penthouse Loft Apt. at FieldHouse Jones,41.89852044,-87.63555408,Entire home/apt,500,1,0,,
Top Floor Unit In Gold Coast! Close to Everything!,41.9008605,-87.62564855,Entire home/apt,120,3,8,06/05/2017,0.78
"Condo, walking dis. Lake/Mich Ave",41.89474396,-87.6203951,Entire home/apt,115,1,15,27/04/2017,1.21
4 Hour Special! 46ft 2bd 2ba Yacht for 20 Downtown,41.89217096,-87.60955396,Entire home/apt,2000,1,0,,
Chic Chicago Condo: Panoramic City View Roof Deck!,41.91036121,-87.64091866,Entire home/apt,350,1,17,11/04/2017,2.48
Beautifully Furnished Loft at Millennium Park,41.88931952,-87.62464703,Entire home/apt,175,3,0,,
Mag Mile 2br/2ba bargain! A+ walks!,41.899795,-87.62462838,Entire home/apt,199,2,17,24/04/2017,1.53
One Bedroom in Beautiful Gold Coast,41.90660176,-87.62759425,Entire home/apt,90,1,12,30/04/2017,3.24
"Great location, gold coast studio.",41.9041616,-87.62943891,Entire home/apt,100,1,82,26/04/2017,6.32
Charming Residence in the heart of the Gold Coast,41.90350685,-87.63057968,Private room,105,1,4,07/05/2017,3.53
Gold Coast High-Rise II,41.899674,-87.62911046,Entire home/apt,334,3,26,23/10/2016,1.04
Modern High-Rise Studio Embraced by the Windy City,41.88934866,-87.62768673,Entire home/apt,110,1,48,06/05/2017,8.32
1bd Streeterville Apt - Great Amenities & Location,41.89342474,-87.61880965,Entire home/apt,106,7,1,26/03/2017,0.65
Luxury With Amazing Views In A Modern Building,41.89087145,-87.62261635,Entire home/apt,199,6,2,18/02/2017,0.52
Fantastic River North Location 2b-6,41.89189194,-87.6280437,Entire home/apt,559,3,5,17/05/2016,0.30
RIVER NORTH 1 BEDROOM MODERN POOL,41.89410971,-87.63128822,Entire home/apt,140,60,2,01/09/2016,0.20
GOLD COAST STUDIO IN 1885 VICTORIAN,41.90375328,-87.62582898,Entire home/apt,120,2,118,01/05/2017,4.12
Ultra modern apt next to Mag Mile,41.89383223,-87.62134043,Entire home/apt,199,1,22,13/11/2016,0.97
River North Contemporary Studio,41.89720242,-87.62983015,Entire home/apt,175,1,4,05/04/2017,0.65
"All New Gold Coast,Old Town Studio",41.90366112,-87.63441907,Entire home/apt,115,1,2,16/04/2017,1.87
Gold Coast Experience No.1 by CHICAGOAN,41.90433731,-87.62845101,Entire home/apt,57,1,25,07/05/2017,3.75
River North Penthouse Dramatic Views 3 King Beds,41.88838535,-87.6339105,Entire home/apt,499,1,15,17/04/2017,2.32
SKY HOME ALL GLASS IMPRESSIVE VIEWS POOL +SOFA BED,41.89766708,-87.63304118,Entire home/apt,113,30,0,,
3 Bedroom Downtown Chicago Penthouse!,41.90465183,-87.63590814,Entire home/apt,499,3,75,23/04/2017,1.49
Luxury Apartment in Chicago's Gold Coast,41.89762259,-87.6312923,Entire home/apt,110,3,1,07/05/2017,1.00
River North Modern 2br/2ba Corner,41.89527536,-87.63204504,Entire home/apt,206,20,0,,
MAJESTIC 4BEDS VILLA(by beach)!,41.90514898,-87.63171561,Entire home/apt,299,1,23,23/04/2017,4.96
2b/2b Super Lux Huge Corner Loft in the Sky,41.89403675,-87.61959285,Entire home/apt,249,2,44,09/05/2017,3.13
Private Bedroom in the heart of Gold Coast,41.90428985,-87.63123275,Private room,60,1,9,05/05/2017,1.29
Modern Apartment in Beautiful Residential Tower,41.88924138,-87.62465877,Entire home/apt,200,1,42,26/04/2017,4.20
4B DowntownChicago Loft w/  Skyline View Roof Deck,41.90895675,-87.64000781,Entire home/apt,299,1,42,13/04/2017,3.28
Gold Coast Designer Apartment off Michigan Ave.!,41.8964854,-87.62636165,Entire home/apt,219,3,3,09/05/2017,3.00
"Lavish 1 BR Apt wirh Rooftop Pool in Chicago, IL",41.88932799,-87.63290021,Entire home/apt,129,29,1,17/02/2017,0.36
Downtown Spacious Studio In A Luxurious Tower,41.89386056,-87.61780603,Entire home/apt,118,3,2,12/07/2016,0.19
BRAND NEW HIGH-RISE LUXURY 1 BD,41.89587221,-87.63284457,Entire home/apt,166,30,2,10/03/2016,0.12
Mag Mile large room in vintage apt,41.89984429,-87.62465988,Private room,75,1,39,30/04/2017,2.97
Modern downtown spacious studio w/ stunning view!,41.89291504,-87.61747989,Entire home/apt,150,2,8,23/04/2017,1.40
"PRIVATE, SUNNY,  1BED/1BATH",41.90787364,-87.63454005,Private room,59,3,3,06/11/2016,0.16
HIGH FLR EPIC VIEWS 2 BEDROOM POOL + SPA +GYM FREE,41.89362865,-87.61688829,Entire home/apt,99,30,1,19/03/2016,0.07
PENTHOUSE Navy Pier LOCATION 2 BEDROOM 4 beds POOL,41.89326797,-87.61557023,Entire home/apt,200,25,7,08/01/2017,0.23
NORTHWESTERN HOSPITAL 3 BED CLEAN,41.89465943,-87.61585655,Entire home/apt,136,20,1,16/05/2016,0.08
"Luxury Full Apt, Grt location! Families & Groups!",41.89375041,-87.6155489,Entire home/apt,195,1,9,08/05/2017,2.09
GLASS HOUSE Beautiful Modern Home,41.89765948,-87.63289935,Entire home/apt,168,30,2,12/03/2017,0.39
Gold Coast Lake Front Apartment,41.90880052,-87.6271556,Entire home/apt,175,2,4,07/05/2017,4.00
Great Gold Coast Apt w/ Parking!,41.8968924,-87.62799821,Entire home/apt,300,2,1,06/11/2016,0.16
Stunning View Excellent Location Modern Apt,41.89088713,-87.62037032,Entire home/apt,170,5,92,30/04/2017,2.06
Luxurious Modern 2BR Center Downtown Chicago (502),41.89492587,-87.6298318,Entire home/apt,199,2,51,07/05/2017,6.74
River north studio 1,41.90119485,-87.63267238,Entire home/apt,120,1,49,06/05/2017,5.38
HIGH-FLR GLASS HAUS CHICAGO LUX,41.89552946,-87.63141141,Entire home/apt,199,21,2,27/02/2017,0.22
Gold Coast Apartment (1BR/1Bath),41.89916892,-87.62106431,Entire home/apt,94,3,4,19/03/2017,1.36
HIGHFLOOR DOWNTOWN 2 BEDROOM NAVY PIER. GYM & POOL,41.8929962,-87.61566153,Entire home/apt,150,30,0,,
Charming Walk-up in Heart of Gold Coast,41.90258509,-87.63074896,Private room,90,1,13,23/04/2017,1.81
GLASS HAUS LUX 1BR + Large Terrace!,41.89795508,-87.63163618,Entire home/apt,121,13,0,,
MODERN GLASS sky home + balcony!,41.89947382,-87.63202369,Entire home/apt,141,21,3,31/08/2016,0.16
LOCATION + VIEWS MAG MILE 2 BEDROOM,41.89369055,-87.61548516,Entire home/apt,195,30,1,02/06/2016,0.09
River North's Finest  -  Sleeps 6,41.89332154,-87.6327022,Entire home/apt,279,2,93,07/05/2017,3.95
Stunning Designer Loft (Downtown),41.90375425,-87.63223331,Entire home/apt,399,3,0,,
Two Bedrooms in Cozy Old Town,41.90780938,-87.633277,Private room,70,1,26,02/05/2017,4.19
"The Spartan - Old Town, Chicago",41.90592273,-87.63063815,Entire home/apt,99,2,39,01/05/2017,3.57
Magnificent Mile Haven,41.89194193,-87.62203352,Entire home/apt,205,1,6,30/07/2016,0.46
Glamorous Gold Coast 2 BR,41.90481641,-87.63034198,Entire home/apt,80,1,40,30/04/2017,3.26
Penthouse Unit In Lakeshore East!,41.8880011,-87.61570626,Entire home/apt,365,7,1,17/06/2015,0.04
360 View Downtown Luxury Apartment,41.88539445,-87.61634586,Entire home/apt,197,3,8,09/04/2017,0.49
LAKESHORE EAST LUX CONDO! VIEWS!,41.88781568,-87.61635587,Entire home/apt,155,7,2,02/08/2015,0.09
1Br+ Unparalleled Views in the loop,41.88642675,-87.6163374,Entire home/apt,165,14,2,28/02/2016,0.11
Warm Artsy Comfort-DowntownLoop-Printers Row,41.87384517,-87.63013343,Private room,95,2,133,05/05/2017,4.90
PENTHOUSE w MILLION DOLLAR VIEWS!,41.88585562,-87.61658027,Entire home/apt,289,7,2,01/10/2015,0.10
MIDDLE Of Downtown HIGH RISE - $40 OFF COUPON,41.87792373,-87.62513551,Private room,33,3,291,08/05/2017,4.35
(04B) Downtown convenience with suburban price,41.86991335,-87.62626592,Private room,55,3,2,25/07/2016,0.20
Riverwalk One Bedroom - Heart of City,41.88853846,-87.62229908,Entire home/apt,115,3,0,,
Luxurious & Spacious Condo in South Loop w/ views,41.86850099,-87.62988648,Entire home/apt,196,1,8,07/05/2017,5.33
Gorgeous Studio in the heart of the Loop,41.88251233,-87.62534984,Entire home/apt,120,1,48,02/04/2017,4.59
Efficiency next to The Bean for two,41.88260851,-87.62621868,Entire home/apt,45,1,45,06/05/2017,4.96
Super Convenient Downtown Chicago Room,41.88400556,-87.62625997,Private room,120,1,40,06/04/2017,3.46
Cozy Apt - Perfect Chicago Getaway!,41.87050175,-87.62912526,Entire home/apt,160,2,19,07/05/2017,0.93
LUXURY STAY IN MILLENIUM PARK WITH HUGE BALCONY,41.88735144,-87.61947472,Entire home/apt,89,1,3,23/04/2017,3.00
Stay across the street from The Bean! (st2),41.8820403,-87.62614106,Entire home/apt,47,1,42,05/05/2017,5.10
Luxury Studio with Amazing VIEWS,41.87238858,-87.62613368,Entire home/apt,199,3,0,,
Luxury High Rise in the heart of Downtown Chicago,41.88352173,-87.62635508,Entire home/apt,130,2,0,,
2 BEDROOM 2 BATH APARTMENT NEXT TO MILLENNIUM PARK,41.88095117,-87.62277579,Entire home/apt,149,2,0,,
"Elegant LOOP Downtown w/ GYM, SKYPARK, HOT TUB",41.8848923,-87.62542554,Entire home/apt,97,1,27,02/05/2017,3.57
Millennium Park Apartment Sleeps 6 (VB),41.88384927,-87.62591336,Entire home/apt,99,1,12,07/05/2017,5.29
Beautiful studio in the Loop!,41.88472264,-87.62725631,Entire home/apt,88,2,3,14/03/2017,0.22
Loop Loft of State St!,41.88346605,-87.62718108,Entire home/apt,225,2,0,,
Millennium Park Apartment Sleeps 10 (Qk),41.88192519,-87.62616221,Entire home/apt,189,1,11,07/05/2017,4.71
NEXT TO MILLENNIUM PARK AND ART MUSEUM,41.88246452,-87.6245365,Entire home/apt,80,3,10,12/10/2016,0.83
"1BR ICONIC SKYSCRAPER, PRIV BALCONY",41.8783575,-87.62903494,Entire home/apt,192,21,8,12/03/2017,0.64
Millennium Park Paradise for Ten [Michigan],41.88192285,-87.62619058,Entire home/apt,125,1,36,01/05/2017,4.24
Charming 2 Bdrm in the Loop! Walkable & Sleeps 7!,41.86854175,-87.62717387,Entire home/apt,189,3,0,,
Luxury Windy City 2 Bedroom,41.88474588,-87.62477155,Entire home/apt,337,2,0,,
RIVER VIEW LOOP 1BR - High Floor!,41.88593614,-87.63204839,Entire home/apt,139,14,0,,
Cozy City Feel with Great View,41.86898355,-87.6279865,Shared room,70,1,6,09/05/2017,3.40
(04A) Downtown convenience with suburban price,41.8715123,-87.62678249,Shared room,55,3,3,21/07/2016,0.27
Best location in downtown Chicago - Queen sofa bed,41.8847539,-87.62479524,Shared room,125,1,12,06/05/2017,1.58
(Z04A) Downtown convenience with suburban price,41.87040516,-87.62440237,Shared room,55,3,0,,
STUNNING STUDIO ON MAG MILE,41.87852022,-87.62884377,Entire home/apt,120,14,0,,
Sleep 6 at The Bean (4L),41.88420651,-87.62680726,Entire home/apt,99,1,53,03/05/2017,4.97
Millennium Park Paradise for 8 [Cubs],41.88239986,-87.62679367,Entire home/apt,125,1,48,03/05/2017,6.61
"Private sailboat, Harmony",41.8815204,-87.61669028,Entire home/apt,214,1,15,17/01/2017,1.96
Vintage Loft Downtown Loop,41.87340424,-87.62916058,Entire home/apt,188,2,43,06/12/2016,1.38
Luxury 3BR Townhome with Patio and Parking,41.86897925,-87.62814755,Entire home/apt,950,2,0,,
THE LOOP 2BR/2Bath apartment 3real beds+sofa,41.88376385,-87.6269104,Entire home/apt,249,1,54,23/04/2017,5.02
Outstanding 1 Br by Millennium Park,41.88404331,-87.62786775,Entire home/apt,149,1,44,21/04/2017,4.60
Millennium Park Paradise for 8 [Randolph],41.88366119,-87.62554431,Entire home/apt,97,1,40,06/05/2017,4.94
Stay at The Bean! Studio sleeps 2 on L Line,41.88419913,-87.62511113,Entire home/apt,75,1,13,05/05/2017,6.50
Great  2 bedroom 2 Bath Balcony,41.87352368,-87.62968513,Entire home/apt,241,30,3,20/07/2015,0.12
SPACIOUS 1BR VIEW EPIC LOOP,41.88617006,-87.62183342,Entire home/apt,165,30,2,28/07/2016,0.14
GORGEOUS 2BR/2BA IN LOOP HIGH RISE!,41.88590567,-87.62543623,Entire home/apt,250,1,83,21/04/2017,3.14
PLUSH 2BR/2BA IN LOOP HIGH RISE!,41.88677667,-87.62618828,Entire home/apt,250,1,27,07/04/2017,1.84
1BR + BALCONY in ICONIC CHI TOWER,41.88649639,-87.62169084,Entire home/apt,209,20,7,16/09/2016,0.34
2 bed appartment @ Joffrey Tower,41.88567536,-87.62674243,Entire home/apt,200,3,0,,
2BR/2BA PENTHOUSE IN LOOP HIGH RISE,41.88593276,-87.62663717,Entire home/apt,275,1,65,23/04/2017,3.18
MOST LUXURY BUILDING DOWNTOWN Pool,41.88590626,-87.63046718,Entire home/apt,145,30,2,18/07/2016,0.19
Luxury apartment in the heart of Chicago (Loop),41.88604869,-87.61862669,Entire home/apt,260,2,6,23/04/2017,0.93
MILLION DOLLAR VIEW PENTHOUSE,41.88741438,-87.61666347,Entire home/apt,290,21,1,21/10/2015,0.05
Beautiful Modern Highrise With View,41.88735398,-87.63188033,Entire home/apt,199,9,1,10/11/2016,0.16
Modern Highrise with Modern Decor,41.88725,-87.63118595,Entire home/apt,199,5,2,30/10/2016,0.27
2BR/2BA LUXURY in DOWNTOWN LOOP,41.88592537,-87.63100025,Entire home/apt,350,30,0,,
Luxury Condo Next to Lake and River,41.88697335,-87.6205815,Entire home/apt,159,7,2,08/11/2016,0.31
Wacker Dr Luxury Near Michigan Ave,41.88553491,-87.63077453,Entire home/apt,199,7,0,,
1BR Loop Skyscraper: LUXURY,41.88610039,-87.63100734,Entire home/apt,164,21,3,20/04/2017,0.27
CHARMING 1 BR IN LOOP HIGH RISE!,41.88519474,-87.62611983,Entire home/apt,195,1,27,03/04/2017,1.93
Windy City Luxury in LOOP w/ Balcony Downtown!,41.88715564,-87.61691453,Entire home/apt,179,3,12,16/03/2017,1.74
SUPER CLEAN ENTIRE LUXURY APARTMENT,41.88693286,-87.62962272,Entire home/apt,150,30,1,27/05/2016,0.09
PENTHOUSE 2BR/2BA IN LOOP HIGH RISE,41.88615538,-87.62522209,Entire home/apt,275,1,74,15/04/2017,3.05
LUXURIATE IN EVERY SPACE-LOCATION!,41.88720291,-87.63261849,Entire home/apt,220,24,0,,
Sleep 8 at The Bean! (6b),41.88409411,-87.62530296,Entire home/apt,175,1,35,05/05/2017,3.32
Windy City Lux- A Gem in the Clouds,41.88651019,-87.61950715,Entire home/apt,250,1,24,20/07/2013,0.41
PLEASANT 2BR/2BA IN LOOP HIGH RISE!,41.88618257,-87.62511049,Entire home/apt,250,1,26,13/04/2017,1.84
Lux Downtown River North Lake View,41.88591435,-87.62068897,Private room,118,2,201,07/05/2017,7.57
BEST LOCATION Michigan Ave&Millennium Park 2 BATHS,41.88481546,-87.62431249,Entire home/apt,150,45,0,,
NEW UPSCALE MODERN w/SPA GYM 1 BEDROOM by MARIANOS,41.88597558,-87.617714,Entire home/apt,120,30,0,,
LUX 2 BEDROOMS - CLEAN w/2 BATHS | NEW INDOOR POOL,41.88561191,-87.62507665,Entire home/apt,130,60,2,17/02/2017,0.26
(05A) Downtown convenience with suburban price,41.87137687,-87.62622125,Private room,55,3,6,29/07/2016,0.52
Beautiful One Bed Lakeshore East,41.88755399,-87.61600289,Entire home/apt,199,9,1,31/08/2015,0.05
Million Dollar Views! Luxury Downtown Skyhouse!,41.8846949,-87.6362461,Entire home/apt,375,2,37,01/12/2016,2.71
ULTRA MODERN Elite Luxury Building POOL | LOCATION,41.88629485,-87.63121797,Entire home/apt,156,30,0,,
中唐【2】,41.87705866,-87.62924671,Private room,88,1,23,01/05/2017,3.50
Mag Mile Apt - No longer Available,41.88784378,-87.62153957,Entire home/apt,200,1,33,28/06/2015,0.91
"Luxury room in 2bed apt, great location",41.88620804,-87.62623708,Private room,100,1,0,,
Great 1 bedroom Luxury Location and Amenities SPA,41.88562068,-87.61740869,Entire home/apt,175,30,1,16/10/2015,0.05
NEW CLEAN LOCATION!!! 1 BEDROOM LUX,41.88704778,-87.61654252,Entire home/apt,150,30,0,,
"Big, Luxury, Best Location - 1BR",41.88762099,-87.61844229,Entire home/apt,138,3,2,25/03/2017,1.15
Stunning 2br/2ba Penthouse with City & Lake Views,41.86899867,-87.62625018,Entire home/apt,350,1,5,07/05/2017,4.41
Millennium Park Apartment Sleeps 10 (Ny),41.88264184,-87.62500676,Entire home/apt,198,1,13,04/05/2017,5.65
Millennium Park Apartment Sleeps 8 (Ue),41.88180612,-87.62468743,Entire home/apt,149,1,7,15/04/2017,3.39
Millennium Park Paradise for 10 [Lake],41.88355874,-87.62548907,Entire home/apt,125,1,40,07/05/2017,5.50
Entire home in the Loop (Chicago),41.86898071,-87.62638985,Entire home/apt,110,1,0,,
South loop ENTERTAINER,41.8699471,-87.62749566,Entire home/apt,125,1,6,07/05/2017,6.00
Phenomenal 1br by Millennium Park,41.88531997,-87.62766671,Entire home/apt,200,1,43,26/04/2017,4.66
Sunny private room next to Millennium Park,41.88489441,-87.62431504,Private room,67,4,0,,
Luxury Apartment 2BR 2BA Highrise/Millenimun Park,41.88502978,-87.62665575,Entire home/apt,399,1,20,07/05/2017,6.38
Fully Furnished Apt in the loop! Chicago DownTown!,41.88405715,-87.63301064,Entire home/apt,101,3,5,10/04/2017,0.79
Millennium Park Studio for 2,41.88193979,-87.62685366,Entire home/apt,75,1,14,30/04/2017,6.27
PRESTIGE MICHIGAN AVE APT,41.88680466,-87.6256791,Private room,210,1,3,08/05/2017,3.00
Millennium Park Apartment Sleeps 10 (mq),41.88376696,-87.6253189,Entire home/apt,199,1,8,07/05/2017,4.21
Sleep 8 at The Bean! (5b),41.88237119,-87.62524717,Entire home/apt,299,1,59,05/05/2017,5.86
Millennium Park Apartment Sleeps 10 (xa),41.88263206,-87.62641706,Entire home/apt,249,1,7,30/04/2017,3.28
Cozy apartment Downtown Chicago,41.88884763,-87.62450176,Entire home/apt,150,4,5,26/03/2017,0.36
Sophisticated spot on River in Loop,41.88724094,-87.63114324,Entire home/apt,140,9,1,16/08/2016,0.11
LUX LOOP TOWER: DOWNTOWN CHICAGO 2,41.88733372,-87.63046885,Entire home/apt,166,30,3,16/08/2016,0.20
Lake and river view in the heart of Chicago,41.88790671,-87.61765062,Entire home/apt,300,5,3,27/11/2016,0.47
Deluxe Furnished 1Bdrm Chicago Apt,41.88190511,-87.63329967,Entire home/apt,129,29,1,01/06/2016,0.09
Swanky spot: classy Chicago River,41.8856802,-87.63094995,Entire home/apt,141,20,0,,
LUX 1BR/CONV in ICONIC SKYSCRAPER,41.88750727,-87.61896038,Entire home/apt,199,30,3,26/09/2016,0.25
POSH 2BR/2BA IN DOWNTOWN HIGH RISE!,41.88587754,-87.62555794,Entire home/apt,250,1,172,23/04/2017,4.46
Downtown Chicago studio on Lake St,41.8707049,-87.62757135,Entire home/apt,80,1,0,,
Gorgeous Apt in Amenities Bldg with Amazing Views!,41.8691583,-87.63131063,Entire home/apt,149,2,1,09/04/2017,0.94
Luxury Downtown Riverwalk 1bedroom Condo...,41.88703012,-87.62094369,Entire home/apt,250,1,7,27/04/2017,2.06
PENTHOUSE STYLE 2 BEDROOMS + 2 BATH FANTASTIC VIEW,41.88626227,-87.61631966,Entire home/apt,171,30,13,06/01/2017,0.53
Perfect Location + Luxury One-Bedroom Apartment,41.88815117,-87.61844074,Entire home/apt,150,7,3,25/03/2017,0.69
Studio in the Heart of the City!,41.88235945,-87.62501122,Entire home/apt,73,1,7,05/05/2017,3.18
Gorgeous 1BR Condo by the River,41.88685176,-87.6264455,Entire home/apt,247,3,1,27/07/2016,0.10
Luxury Apartment in the Loop & Private Bath,41.88598253,-87.63023768,Private room,139,1,12,22/04/2017,2.26
Best Location w/PARK + GYM/POOL/SPA,41.88581071,-87.61640618,Entire home/apt,140,30,3,01/12/2015,0.15
LUXURY SUPER NICE TOP RATED CONDO LOOPVIEW+PARKING,41.87026221,-87.62611383,Entire home/apt,129,2,67,02/05/2017,5.46
(06A) Downtown convenience with suburban price,41.87010201,-87.62474324,Private room,55,3,7,29/07/2016,0.61
Lakeshore East 1 BR Convertible Luxury Apt,41.88706467,-87.62067722,Entire home/apt,69,5,1,30/03/2016,0.07
Entire Luxury Private Apartment,41.88107594,-87.62470061,Entire home/apt,360,1,0,,
Luxury Apartment in Loop w/ Instagram worthy views,41.86842345,-87.63096254,Entire home/apt,90,1,7,02/05/2017,5.83
2b/2b Absolutely Stunning Glass Sky Penthouse,41.88739144,-87.61936099,Entire home/apt,299,2,55,23/04/2017,2.41
LAKESHORE MILLENNIUM PARK II,41.88566751,-87.6186259,Entire home/apt,334,3,52,03/05/2017,2.06
"Sunny room with lake view, steps to everything",41.87492942,-87.62338905,Private room,119,2,45,07/05/2017,5.60
Elevated Luxury Downtown HOT TUB + GYM + POOL,41.88637932,-87.615918,Entire home/apt,230,2,17,04/05/2017,3.07
$200.00 GIFT CARD INCLUDED - 2 BEDROOM 2 BATH APT,41.88128455,-87.62471418,Entire home/apt,200,1,0,,
2 BEDROOM 2 BATH MILLENNIUM PARK Michigan Ave POOL,41.88444277,-87.62475783,Entire home/apt,159,30,3,18/03/2017,0.63
Millennium Park Paradise for 6 [Bean],41.88257287,-87.62458645,Entire home/apt,99,1,46,05/05/2017,5.25
Central Tower Balcony of Chicago,41.87327841,-87.63201447,Entire home/apt,100,1,91,17/04/2017,5.23
Luxury Accommodations In Chicago,41.88641156,-87.63197642,Entire home/apt,199,2,71,20/04/2017,4.72
MODERN 1 BR CONDO W RIVER/CITY VIEW,41.88629739,-87.63100464,Entire home/apt,145,30,4,15/06/2016,0.17
PENT LUX 1br EAST LAKE EXPOSURE!,41.88746124,-87.61748487,Entire home/apt,161,21,1,15/05/2016,0.08
